,season,division,matchday,date,time,home_team,away_team,score
0,1928-1929,1,1,2/10/29,,Arenas Club,Athletic Madrid,2:3
1,1928-1929,1,1,2/10/29,,Espanyol,Real Unión,3:2
2,1928-1929,1,1,2/10/29,,Real Madrid,Catalunya,5:0
3,1928-1929,1,1,2/10/29,,Donostia,Athletic,1:1
4,1928-1929,1,1,2/12/29,,Racing,Barcelona,0:2
5,1928-1929,1,2,2/17/29,,Barcelona,Real Madrid,1:2
6,1928-1929,1,2,2/17/29,,Athletic,Espanyol,9:0
7,1928-1929,1,2,2/17/29,,Athletic Madrid,Donostia,0:3
8,1928-1929,1,2,2/17/29,,Real Unión,Racing,3:1
9,1928-1929,1,2,2/17/29,,Catalunya,Arenas Club,5:2
10,1928-1929,1,3,2/24/29,,Donostia,Barcelona,3:0
11,1928-1929,1,3,2/24/29,,Espanyol,Catalunya,3:1
12,1928-1929,1,3,2/24/29,,Arenas Club,Real Unión,1:1
13,1928-1929,1,3,2/24/29,,Racing,Athletic,0:4
14,1928-1929,1,3,2/24/29,,Real Madrid,Athletic Madrid,2:1
15,1928-1929,1,4,3/3/29,,Real Unión,Athletic Madrid,1:2
16,1928-1929,1,4,3/3/29,,Real Madrid,Donostia,2:1
17,1928-1929,1,4,3/3/29,,Espanyol,Racing,3:0
18,1928-1929,1,4,3/3/29,,Barcelona,Arenas Club,2:2
19,1928-1929,1,4,3/3/29,,Athletic,Catalunya,2:0
20,1928-1929,1,5,3/10/29,,Catalunya,Real Unión,3:3
21,1928-1929,1,5,3/10/29,,Athletic Madrid,Barcelona,4:1
22,1928-1929,1,5,3/10/29,,Racing,Real Madrid,1:3
23,1928-1929,1,5,3/10/29,,Donostia,Espanyol,1:1
24,1928-1929,1,5,3/10/29,,Arenas Club,Athletic,1:0
25,1928-1929,1,6,3/24/29,,Espanyol,Real Madrid,4:0
26,1928-1929,1,6,3/24/29,,Real Unión,Athletic,6:3
27,1928-1929,1,6,3/24/29,,Arenas Club,Donostia,3:0
28,1928-1929,1,6,3/24/29,,Athletic Madrid,Racing,4:0
29,1928-1929,1,6,3/24/29,,Barcelona,Catalunya,5:2
30,1928-1929,1,7,3/31/29,,Donostia,Racing,8:1
31,1928-1929,1,7,3/31/29,,Espanyol,Arenas Club,1:2
32,1928-1929,1,7,3/31/29,,Catalunya,Athletic Madrid,4:1
33,1928-1929,1,7,3/31/29,,Athletic,Barcelona,5:1
34,1928-1929,1,7,3/31/29,,Real Madrid,Real Unión,2:0
35,1928-1929,1,8,4/7/29,,Arenas Club,Real Madrid,3:2
36,1928-1929,1,8,4/7/29,,Athletic Madrid,Athletic,2:3
37,1928-1929,1,8,4/7/29,,Barcelona,Espanyol,1:0
38,1928-1929,1,8,4/7/29,,Real Unión,Donostia,2:3
39,1928-1929,1,8,4/7/29,,Racing,Catalunya,3:2
40,1928-1929,1,9,4/21/29,,Arenas Club,Racing,2:1
41,1928-1929,1,9,4/21/29,,Real Unión,Barcelona,1:2
42,1928-1929,1,9,4/21/29,,Real Madrid,Athletic,5:1
43,1928-1929,1,9,4/21/29,,Espanyol,Athletic Madrid,3:2
44,1928-1929,1,9,4/21/29,,Catalunya,Donostia,4:3
45,1928-1929,1,10,4/28/29,,Real Unión,Espanyol,4:3
46,1928-1929,1,10,4/28/29,,Athletic,Donostia,4:2
47,1928-1929,1,10,4/28/29,,Barcelona,Racing,5:1
48,1928-1929,1,10,4/28/29,,Athletic Madrid,Arenas Club,1:2
49,1928-1929,1,10,4/28/29,,Catalunya,Real Madrid,5:2
50,1928-1929,1,11,5/5/29,,Espanyol,Athletic,4:1
51,1928-1929,1,11,5/5/29,,Racing,Real Unión,1:3
52,1928-1929,1,11,5/5/29,,Arenas Club,Catalunya,2:2
53,1928-1929,1,11,5/9/29,,Real Madrid,Barcelona,0:1
54,1928-1929,1,11,5/9/29,,Donostia,Athletic Madrid,3:3
55,1928-1929,1,12,5/9/29,,Catalunya,Espanyol,0:3
56,1928-1929,1,12,5/12/29,,Athletic,Racing,0:0
57,1928-1929,1,12,5/19/29,,Athletic Madrid,Real Unión,3:1
58,1928-1929,1,12,5/19/29,,Donostia,Real Madrid,5:4
59,1928-1929,1,12,6/30/29,,Arenas Club,Barcelona,0:2
